Word;Count;Probability;Huffman Code;Max Length Code
the;34722;611768%;1000;
and;22278;392517%;11100;
to;16753;295172%;1111;
of;15002;264321%;1000;
a;10569;186216%;110101;
he;9858;173688%;110000;
in;8962;157902%;101000;
his;7982;140635%;10111;
that;7902;139226%;10101;
was;7360;129676%;1110;
with;5710;100605%;1111000;
had;5364;0.94508%;1101101;
it;5230;0.92148%;1100111;
her;4722;0.83197%;1011001;
not;4695;0.82721%;1011000;
him;4635;0.81664%;1010110;
at;4545;0.80079%;1010010;
i;4157;0.73242%;111010;
but;4050;0.71357%;110011;
as;4033;0.71058%;110010;
on;4011;0.70670%;110000;
you;3666;0.64591%;11010;
for;3544;0.62442%;10100;
she;3420;0.60257%;10000;
is;3343;0.58900%;1101;
said;2839;0.50020%;11101111;
all;2803;0.49386%;11101010;
from;2708;0.47712%;11011101;
be;2456;0.43272%;10111101;
were;2449;0.43149%;10111100;
by;2404;0.42356%;10110111;
what;2331;0.41070%;10101110;
they;2180;0.38409%;10011010;
who;2152;0.37916%;10010101;
this;2119;0.37335%;10010010;
which;2064;0.36366%;1110010;
one;2060;0.36295%;1110000;
have;1981;0.34903%;1011000;
prince;1890;0.33300%;1001010;
so;1863;0.32824%;111110;
pierre;1796;0.31644%;110000;
an;1635;0.28807%;10001;
or;1602;0.28226%;1100;
up;1556;0.27415%;110;
them;1528;0.26922%;111111001;
when;1497;0.26376%;111110011;
did;1484;0.26147%;111110000;
been;1476;0.26006%;111101111;
there;1473;0.25953%;111101101;
their;1440;0.25371%;111100111;
no;1410;0.24843%;111011011;
would;1365;0.24050%;110111110;
now;1329;0.23416%;110100111;
if;1313;0.23134%;110100011;
only;1300;0.22905%;110011010;
are;1289;0.22711%;110011001;
me;1273;0.22429%;110001110;
out;1234;0.21742%;101111110;
my;1224;0.21566%;101110111;
could;1116;0.19663%;100111011;
natsha;1097;0.19328%;100110111;
man;1084;0.19099%;100101111;
will;1068;0.18817%;100101001;
more;1056;0.18606%;100100010;
do;1055;0.18588%;11101111;
andrew;1045;0.18412%;11101100;
himself;1019;0.17954%;11010000;
about;1019;0.17954%;11010001;
how;1003;0.17672%;11000100;
into;1003;0.17672%;10110111;
we;975;0.17179%;10100011;
its;953;0.16791%;10010111;
then;941;0.16580%;10010001;
time;927;0.16333%;1111000;
princess;916;0.16139%;1101100;
face;893;0.15734%;1010110;
french;879;0.15487%;1001110;
went;862;0.15188%;1000111;
some;847;0.14923%;111100;
know;847;0.14923%;111011;
after;836;0.14730%;110011;
before;832;0.14659%;110001;
eyes;827;0.14571%;101000;
your;820;0.14448%;100101;
old;806;0.14201%;11100;
very;804;0.14166%;11011;
men;770;0.13567%;1001;
